"Timestamp","Gender","Age","Did you play PUBG before the ban?","If yes, then the number of average hours you played pubg in a day?","Are you happy with the ban on PUBG?","Are you against the ban of pubg?","Are you shifting towards any other game after the ban on pubg?","Which games are you shifting towards after the ban on pubg?","Can any of these games replace pubg?","Are you excited about FAU-G( Indian rival to PUBG Mobile (releasing soon))","Will you play FAU-G( Indian rival to PUBG Mobile (releasing soon))?","If yes then why will you play the FAU-G game?"
"2020/09/05 12:25:00 am GMT+5:30","Male","21","Yes","0-1","no","Yes","No","","Nothing can replace pubg","no","No",""
"2020/09/05 12:28:36 am GMT+5:30","Male","19","Yes","0-1","yes","no","Yes","","Call of Duty Mobile;Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:29:29 am GMT+5:30","Male","21","Yes","1-2","no","Yes","No","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:29:41 am GMT+5:30","Male","21","Yes","0-1","yes","Yes","No","","","no","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:29:44 am GMT+5:30","Male","21","Yes","1-2","no","Yes","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:29:55 am GMT+5:30","Male","17","Yes","0-1","no","no","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:31:09 am GMT+5:30","Male","21","No","","yes","no","Yes","","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:31:15 am GMT+5:30","Male","21","Yes","2-3","yes","no","No","","Nothing can replace pubg","Yes","No",""
"2020/09/05 12:33:14 am GMT+5:30","Male","20","No","","yes","no","No","","Call of Duty Mobile","Yes","No",""
"2020/09/05 12:33:36 am GMT+5:30","Male","21","Yes","0-1","yes","Yes","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:33:59 am GMT+5:30","Male","21","Yes","0-1","no","Yes","Maybe","Call of Duty Mobile","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:34:34 am GMT+5:30","Female","21","No","","yes","no","No","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","to support atma nirbhar bharat moment only"
"2020/09/05 12:39:15 am GMT+5:30","Male","21","Yes","2-3","no","no","Maybe","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:39:39 am GMT+5:30","Female","21","No","","yes","no","No","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","No","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:40:55 am GMT+5:30","Male","23","Yes","0-1","yes","no","Yes","Garena Free Fire","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/05 12:41:00 am GMT+5:30","Male","21","No","","no","no","","","Call of Duty Mobile","Yes","No",""
"2020/09/05 12:42:03 am GMT+5:30","Male","21","Yes","1-2","yes","no","Yes","Call of Duty Mobile","Nothing can replace pubg","Yes","Yes","to support atma nirbhar bharat moment only"
